actor_name,actor_tmdb_id,actor_sexuality,confidence_sexuality,reasoning_sexuality
Jung Zi-so,1418762,Unknown,low,"There is no publicly available information regarding Jung Zi-so's sexuality, and she has not made any statements about it."
Jung Hyeon-jun,2306987,Unknown,low,"There is no publicly available information regarding Jung Hyeon-jun's sexuality, and he has not made any statements about it."
Park Keun-rok,1709230,Unknown,low,"There is no publicly available information regarding Park Keun-rok's sexuality, and he has not made any statements about it."
Jung Yi-seo,2326809,Unknown,low,"There is no publicly available information regarding Jung Yi-seo's sexuality, and she has not made any statements about it."
Cho Jae-myung,2478772,Unknown,low,"There is no publicly available information regarding Cho Jae-myung's sexuality, and he has not made any statements about it."
Jeong Ik-han,2326615,Unknown,low,"There is no publicly available information regarding Jeong Ik-han's sexuality, and he has not made any statements about it."
Kim Kyu-baek,2478781,Unknown,low,"There is no publicly available information regarding Kim Kyu-baek's sexuality, and he has not made any statements about it."
Lee Dong-yong,2159392,Unknown,low,"There is no publicly available information regarding Lee Dong-yong's sexuality, and he has not made any statements or disclosures about it."
Ahn Seong-bong,2379047,Unknown,low,"There is no publicly available information regarding Ahn Seong-bong's sexuality, and he has not made any statements about it."
Yoon Young-woo,2499966,Unknown,low,"There is no publicly available information regarding Yoon Young-woo's sexuality, and he has not made any statements about it."
Park Jae-wook,1419705,Unknown,low,"There is no publicly available information regarding Park Jae-wook's sexuality, and he has not made any statements about it."
Jeon Eun-mi,2538209,Unknown,low,"There is no publicly available information regarding Jeon Eun-mi's sexuality, and she has not made any statements about it."
John Travolta,8891,Straight,high,"John Travolta has been married to Kelly Preston, and there has been no public disclosure from him regarding any same-sex relationships or a different sexual orientation."
Samuel L. Jackson,2231,Straight,high,"Samuel L. Jackson is married to LaTanya Richardson, and there is no public information indicating he has identified as anything other than straight."
Uma Thurman,139,Straight,high,Uma Thurman has been in several high-profile relationships with men and has not publicly identified as anything other than straight.
Bruce Willis,62,Straight,high,Bruce Willis has been married to women and has not publicly identified as anything other than straight.
Ving Rhames,10182,Straight,high,"Ving Rhames has been publicly known to be married to a woman, which aligns with the criteria for identifying as Straight."
Harvey Keitel,1037,Straight,high,Harvey Keitel has been in public relationships with women and has not publicly identified as anything other than straight.
Eric Stoltz,7036,Straight,high,Eric Stoltz has been in a long-term relationship with a woman and has not publicly identified as anything other than straight.
Tim Roth,3129,Straight,high,Tim Roth has been in a long-term relationship with a woman and has not publicly identified as anything other than straight.
Amanda Plummer,99,Unknown,low,"Amanda Plummer has not publicly disclosed her sexuality, and there is limited information available regarding her relationships."
Maria de Medeiros,2319,Unknown,low,"Maria de Medeiros has not publicly disclosed her sexuality, and there is no clear information regarding her relationships that would allow for a definitive categorization."
Quentin Tarantino,138,Straight,high,Quentin Tarantino is known to be in a long-term relationship with a woman and has not publicly identified as anything other than straight.
Christopher Walken,4690,Straight,high,"Christopher Walken has been married to his wife, Kathy, since 1969, and there is no public information indicating he has identified as anything other than straight."
Rosanna Arquette,2165,Unknown,medium,"Rosanna Arquette has been involved in both same-sex and opposite-sex relationships, but she has not explicitly labeled her sexuality in public statements. Therefore, while there are indications of bisexuality, the lack of a clear self-identification leads to a classification of 'Unknown'."
Peter Greene,11803,Unknown,low,"Peter Greene has not publicly disclosed his sexuality, and there is limited information available regarding his personal relationships."
Duane Whitaker,11804,Unknown,low,"There is no publicly available information regarding Duane Whitaker's sexuality, and he has not made any explicit statements about it."
Angela Jones,71836,Unknown,low,"There is no publicly available information regarding Angela Jones' sexuality, and she has not made any explicit statements on the matter."
Phil LaMarr,31549,Unknown,low,"Phil LaMarr has not publicly disclosed his sexuality, and there is no clear information regarding his relationships that would allow for a definitive categorization."
Steve Buscemi,884,Straight,high,"Steve Buscemi has been married to a woman, and there is no public information indicating he has identified as anything other than straight."
Bronagh Gallagher,33399,Unknown,low,"There is no publicly available information regarding Bronagh Gallagher's sexuality, and she has not made any explicit statements about it."
Laura Lovelace,11807,Unknown,low,"There is no publicly available information regarding Laura Lovelace's sexuality, and she has not made any explicit statements on the matter."
Tom Hanks,31,Straight,high,"Tom Hanks is married to Rita Wilson, and he has not publicly identified as anything other than straight."
Robin Wright,32,Straight,high,Robin Wright has been in public relationships with men and has not publicly identified as anything other than straight.
Gary Sinise,33,Straight,high,"Gary Sinise is married to a woman, and there is no public information indicating he has ever been in a same-sex relationship or identified as anything other than straight."
Sally Field,35,Straight,high,Sally Field has been in public relationships with men and has not publicly identified as anything other than straight.
Mykelti Williamson,34,Straight,high,"Mykelti Williamson is known to be married to a woman, and there is no public information indicating any same-sex relationships or a different sexual orientation."
Michael Conner Humphreys,37821,Unknown,low,"There is no publicly available information regarding Michael Conner Humphreys' sexuality, and he has not made any explicit statements about it."
Hanna Hall,204997,Unknown,low,"Hanna Hall has not publicly disclosed her sexuality, and there is limited information available regarding her relationships."
Haley Joel Osment,9640,Straight,high,Haley Joel Osment has been in a long-term relationship with a woman and has not publicly identified as anything other than straight.
Siobhan Fallon Hogan,6751,Straight,high,"Siobhan Fallon Hogan is known to be married to a man, and there is no public information indicating any same-sex relationships or a different sexual orientation."
Rebecca Williams,3817610,Unknown,low,"There is limited public information regarding Rebecca Williams' sexuality, and she has not made any explicit statements about it."
Bob Penny,196855,Unknown,low,"There is no publicly available information regarding Bob Penny's sexuality, and he has not made any explicit statements about it."
Harold G. Herthum,3052237,Unknown,low,"There is no publicly available information regarding Harold G. Herthum's sexuality, and he has not made any explicit statements about it."
George Kelly,951881,Unknown,low,"There is limited public information regarding George Kelly's sexuality, and he has not made any explicit statements about it."
John Randall,3817629,Unknown,low,"There is no publicly available information regarding John Randall's sexuality, and he has not made any statements about it."
Sam Anderson,36221,Straight,high,"Sam Anderson is known to be married to a woman, and there is no public information indicating any same-sex relationships or a different sexual orientation."
Margo Moorer,1215432,Unknown,low,"There is limited public information regarding Margo Moorer's sexuality, and she has not made any explicit statements about it."
Ione M. Telech,3817635,Unknown,low,"There is no publicly available information regarding Ione M. Telech's sexuality, and they have not made any statements on the matter."
Christine Seabrook,3817637,Unknown,low,"There is no publicly available information regarding Christine Seabrook's sexuality, and she has not made any statements on the topic."
John Worsham,946856,Unknown,low,"There is limited public information regarding John Worsham's sexuality, and he has not made any explicit statements about it."
Peter Dobson,37822,Unknown,low,"There is no publicly available information regarding Peter Dobson's sexuality, and he has not made any explicit statements about it."
Shameik Moore,587506,Unknown,low,"Shameik Moore has not publicly disclosed his sexuality, and there is limited information available regarding his relationships."
Jake Johnson,543505,Straight,high,"Jake Johnson is married to a woman, and there is no public information indicating he has identified as anything other than straight."
Hailee Steinfeld,130640,Unknown,low,"Hailee Steinfeld has not publicly disclosed her sexuality, and while she has been linked to both male and female individuals, there is no clear statement from her regarding her sexual orientation."
Mahershala Ali,932967,Straight,high,"Mahershala Ali is married to a woman, and there is no public information indicating he identifies as anything other than straight."
Brian Tyree Henry,226366,Unknown,low,"Brian Tyree Henry has not publicly disclosed his sexuality, and there is limited information available regarding his relationships."
Lily Tomlin,10437,Unknown,low,"Lily Tomlin has been in a long-term relationship with Jane Wagner, which suggests a same-sex relationship, but she has not explicitly labeled her sexuality in public statements. Therefore, the information is ambiguous."
Luna Lauren Vélez,141610,Unknown,low,"Luna Lauren Vélez has not publicly disclosed her sexuality, and there is no clear information regarding her relationships that would indicate a specific category."
Zoë Kravitz,37153,Unknown,medium,"Zoë Kravitz has not publicly disclosed her sexuality in a clear manner. While she has been in relationships with both men and women, she has not explicitly identified her sexual orientation."
John Mulaney,933558,Straight,high,"John Mulaney has been publicly known to be in a marriage with a woman, which aligns with the definition of being straight. There are no public disclosures indicating otherwise."
Kimiko Glenn,1443708,Unknown,low,"Kimiko Glenn has not publicly disclosed her sexuality, and there is limited information available regarding her relationships."
Nicolas Cage,2963,Straight,high,Nicolas Cage has been married to women and has not publicly identified as anything other than straight.
Kathryn Hahn,17696,Straight,high,"Kathryn Hahn is married to actor Ethan Sandler, and there is no public information indicating she has identified as anything other than straight."
Liev Schreiber,23626,Straight,high,"Liev Schreiber has been in a long-term relationship with actress Naomi Watts, and they have two children together. He has not publicly identified as anything other than straight."
Chris Pine,62064,Straight,high,Chris Pine has been publicly linked to women in relationships and has not disclosed any same-sex relationships or identified as anything other than straight.
Natalie Morales,118752,Straight,high,"Natalie Morales is known to be married to a man, which aligns with the classification of 'Straight' based on the guidelines provided."
Edwin H. Bravo,1746631,Unknown,low,"There is no publicly available information regarding Edwin H. Bravo's sexuality, and he has not made any statements or disclosures about it."
Oscar Isaac,25072,Straight,high,Oscar Isaac is known to be in a long-term relationship with a woman and has not publicly identified as anything other than straight.
Greta Lee,1260481,Straight,high,"Greta Lee is married to a man, and there is no public information indicating she has identified as anything other than straight."
Stan Lee,7624,Straight,high,"Stan Lee was married to Joan Lee for nearly 70 years until her passing, and he has not publicly identified as anything other than straight."
Jorma Taccone,62863,Straight,high,"Jorma Taccone is married to an opposite-sex partner, and there is no public information indicating he identifies as anything other than straight."
Leonardo DiCaprio,6193,Straight,high,Leonardo DiCaprio has been in several high-profile relationships with women and has not publicly identified as anything other than straight.
Joseph Gordon-Levitt,24045,Straight,high,Joseph Gordon-Levitt is married to a woman and has not publicly identified as anything other than straight.
Ken Watanabe,3899,Straight,high,Ken Watanabe has been married to women and has not publicly disclosed any same-sex relationships.
Tom Hardy,2524,Straight,high,"Tom Hardy is married to actress Charlotte Riley, and he has not publicly identified as anything other than straight."
Elliot Page,27578,Unknown,low,"Returned unexpected category, defaulted to Unknown"
Dileep Rao,95697,Unknown,low,"Dileep Rao has not publicly disclosed his sexuality, and there is no clear information regarding his relationships."
Tom Berenger,13022,Straight,high,Tom Berenger has been married to women and has not publicly identified as anything other than straight.
Marion Cotillard,8293,Straight,high,"Marion Cotillard has been in a long-term relationship with a male partner, and there is no public disclosure of her being in any same-sex relationships."
Pete Postlethwaite,4935,Unknown,low,"Pete Postlethwaite has not publicly disclosed his sexuality, and there is no clear information regarding his relationships that would allow for a definitive categorization."
Lukas Haas,526,Unknown,low,"Lukas Haas has not publicly disclosed his sexuality, and there is limited information available regarding his relationships."
Talulah Riley,66441,Straight,high,"Talulah Riley has been publicly known to be in relationships with men, including her marriage to Elon Musk, which indicates a straight orientation."
Tohoru Masamune,173212,Unknown,low,"There is no publicly available information regarding Tohoru Masamune's sexuality, and he has not made any explicit statements on the matter."
Taylor Geare,967376,Unknown,low,"There is no publicly available information regarding Taylor Geare's sexuality, and she has not made any statements about it."
Claire Geare,973135,Unknown,low,"There is no publicly available information regarding Claire Geare's sexuality, and she has not made any statements about it."
Johnathan Geare,1677266,Unknown,low,"There is limited public information regarding Johnathan Geare's sexuality, and he has not made any explicit statements about it."
Yuji Okumoto,56120,Straight,high,"Yuji Okumoto is known to be married to a woman, which aligns with the classification of 'Straight'."
Earl Cameron,2246,Straight,high,Earl Cameron was married to a woman and there is no public information indicating he has identified as anything other than straight.
Ryan Hayward,1677267,Unknown,low,"There is no publicly available information regarding Ryan Hayward's sexuality, and he has not made any statements or disclosures about it."
Michael J. Fox,521,Straight,high,"Michael J. Fox is married to Tracy Pollan, and there is no public information indicating he has identified as anything other than straight."
Christopher Lloyd,1062,Straight,high,Christopher Lloyd has been married to women and has not publicly identified as anything other than straight.
Crispin Glover,1064,Unknown,low,"Crispin Glover has not publicly disclosed his sexuality, and there is no clear information regarding his relationships that would allow for a definitive categorization."
Lea Thompson,1063,Straight,high,"Lea Thompson has been married to a man, Howard Deutch, since 1989, and there is no public information indicating she has identified as anything other than straight."
Claudia Wells,1066,Unknown,low,"Claudia Wells has not publicly disclosed her sexuality, and there is limited information available regarding her relationships."
Thomas F. Wilson,1065,Straight,high,"Thomas F. Wilson is married to a woman, which indicates a straight orientation. He has not publicly disclosed any information that suggests otherwise."
Marc McClure,1067,Straight,high,"Marc McClure is known to be married to a woman, and there is no public information indicating any same-sex relationships or a different sexual orientation."
Wendie Jo Sperber,1068,Unknown,low,"Wendie Jo Sperber has not publicly disclosed her sexuality, and there is limited information available regarding her personal relationships."
George DiCenzo,1069,Unknown,low,"There is no publicly available information regarding George DiCenzo's sexuality, and he has not made any explicit statements about it."
Frances Lee McCain,1070,Unknown,low,"Frances Lee McCain has not publicly disclosed her sexuality, and there is no clear information regarding her relationships."
James Tolkan,1072,Straight,high,"James Tolkan has been married to a woman, which indicates a heterosexual relationship. There is no public information suggesting otherwise."
J.J. Cohen,11673,Unknown,low,"There is no publicly available information regarding J.J. Cohen's sexuality, and he has not made any explicit statements about it."
Casey Siemaszko,1953,Straight,high,"Casey Siemaszko is known to be married to a woman, which aligns with the classification of 'Straight'."
Billy Zane,1954,Straight,high,"Billy Zane has been publicly known to be in relationships with women and has been married to a woman, which aligns with the classification of 'Straight'."
"Harry Waters, Jr.",1074,Unknown,low,"There is no publicly available information regarding Harry Waters, Jr.'s sexuality, and he has not made any explicit statements about it."
Donald Fullilove,84494,Unknown,low,"There is no publicly available information regarding Donald Fullilove's sexuality, and he has not made any explicit statements about it."
Lisa Freeman,97708,Unknown,low,"There is no publicly available information regarding Lisa Freeman's sexuality, and she has not disclosed any details about her sexual orientation."
Cristen Kauffman,1116544,Unknown,low,"There is no publicly available information regarding Cristen Kauffman's sexuality, and she has not made any explicit statements on the matter."
Elsa Raven,172280,Unknown,low,"There is no publicly available information regarding Elsa Raven's sexuality, and she has not made any statements about it."
Will Hare,97718,Unknown,low,"There is no publicly available information regarding Will Hare's sexuality, and he has not made any statements on the topic."
Lupita Nyong'o,1267329,Unknown,low,"Lupita Nyong'o has not publicly disclosed her sexuality, and there is no clear information regarding her relationships that would allow for a definitive categorization."
Pedro Pascal,1253360,Unknown,low,"Pedro Pascal has not publicly disclosed his sexuality in a clear manner. While there have been discussions and speculations, he has not explicitly identified with any specific label."
Kit Connor,1538851,Unknown,low,"Kit Connor has not publicly disclosed his sexuality, and there is no clear information regarding his relationships that would allow for a definitive categorization."
Bill Nighy,2440,Straight,high,Bill Nighy has been in a long-term relationship with a woman and has not publicly identified as anything other than straight.
Stephanie Hsu,1381186,Unknown,low,"Stephanie Hsu has not publicly disclosed her sexuality, and there is no clear information regarding her relationships that would allow for a definitive categorization."
Matt Berry,1488236,Unknown,low,"Matt Berry has not publicly disclosed his sexuality, and there is no clear information regarding his relationships that would allow for a definitive categorization."
Mark Hamill,2,Straight,high,"Mark Hamill is married to a woman, Marilou York, and has not publicly identified as anything other than straight."
Catherine O'Hara,11514,Straight,high,"Catherine O'Hara is known to be married to a man, which aligns with the classification of 'Straight'. There is no public information indicating otherwise."
Boone Storm,4967567,Unknown,low,"There is no publicly available information regarding Boone Storm's sexuality, and he has not made any statements or disclosures about it."
Alexandra Novelle,3745698,Unknown,low,"There is no publicly available information regarding Alexandra Novelle's sexuality, and she has not made any explicit statements on the matter."
Raphael Alejandro,1368512,Unknown,low,"There is no publicly available information regarding Raphael Alejandro's sexuality, and he has not made any explicit statements about it."
Paul-Mikél Williams,1975196,Unknown,low,"There is no publicly available information regarding Paul-Mikél Williams' sexuality, and he has not made any explicit statements about it."
Eddie Park,3745667,Unknown,low,"There is no publicly available information regarding Eddie Park's sexuality, and he has not made any explicit statements about it."
Randy Thom,42267,Unknown,low,"There is no publicly available information regarding Randy Thom's sexuality, and he has not made any explicit statements on the subject."
Avrielle Corti,112330,Unknown,low,"There is no publicly available information regarding Avrielle Corti's sexuality, and she has not made any explicit statements on the matter."
Keston John,1152021,Unknown,low,"There is no publicly available information regarding Keston John's sexuality, and he has not made any explicit statements about it."
Max Mittelman,1379386,Unknown,low,"Max Mittelman has not publicly disclosed his sexuality, and there is no available information regarding his relationships that would indicate a specific category."
Piotr Michael,1449707,Unknown,low,"There is no publicly available information regarding Piotr Michael's sexuality, and he has not made any explicit statements about it."
Robert Downey Jr.,3223,Straight,high,"Robert Downey Jr. is married to Susan Downey, and he has not publicly identified as anything other than straight."
Chris Evans,16828,Straight,high,Chris Evans has been publicly linked to women in relationships and has not publicly identified as anything other than straight.
Mark Ruffalo,103,Straight,high,"Mark Ruffalo is married to a woman, which aligns with the definition of being 'Straight'. He has not publicly identified as anything other than straight."
Chris Hemsworth,74568,Straight,high,"Chris Hemsworth is married to Elsa Pataky, and he has not publicly identified as anything other than straight."
Scarlett Johansson,1245,Straight,high,"Scarlett Johansson has been publicly known to be in relationships with men and has been married to men, which aligns with the classification of 'Straight'. There is no public disclosure of her identifying as anything other than straight."
Jeremy Renner,17604,Straight,high,Jeremy Renner has been publicly known to be in relationships with women and has not publicly identified as anything other than straight.
Josh Brolin,16851,Straight,high,Josh Brolin has been publicly known to be married to women and has not publicly identified as anything other than straight.
Don Cheadle,1896,Straight,high,Don Cheadle is known to be in a long-term relationship with a woman and has not publicly identified as anything other than straight.
Paul Rudd,22226,Straight,high,"Paul Rudd is married to a woman, Julie Yaeger, and has not publicly identified as anything other than straight."
Benedict Cumberbatch,71580,Straight,high,"Benedict Cumberbatch is married to a woman, Sophie Hunter, and has not publicly identified as anything other than straight."
Chadwick Boseman,172069,Straight,high,"Chadwick Boseman was married to Taylor Simone Ledward, and there is no public information indicating he identified as anything other than straight."
Brie Larson,60073,Unknown,medium,"Brie Larson has not publicly disclosed her sexuality in a clear manner. While she has been in relationships with men, she has also expressed support for LGBTQ+ rights and has made statements that could imply a broader understanding of sexuality, but has not explicitly identified herself as belonging to any specific category."
Tom Holland,1136406,Straight,high,"Tom Holland has been publicly known to be in a relationship with a woman, Zendaya, and has not publicly identified as anything other than straight."
Karen Gillan,543261,Straight,high,Karen Gillan has been publicly known to be in a relationship with a man and has not disclosed any information suggesting otherwise.
Zoe Saldaña,8691,Straight,high,"Zoe Saldaña is married to Marco Perego, and there is no public information indicating she identifies as anything other than straight."
Evangeline Lilly,19034,Straight,high,Evangeline Lilly has been in public relationships with men and has not publicly identified as anything other than straight.
Tessa Thompson,62561,Bisexual,high,Tessa Thompson has publicly identified as bisexual in interviews and discussions about her sexuality.
Rene Russo,14343,Straight,high,"Rene Russo has been in a long-term marriage with Dan Gilroy since 1992, and there is no public information indicating any same-sex relationships or a different sexual orientation."
Elizabeth Olsen,550843,Straight,high,Elizabeth Olsen has been publicly known to be in a relationship with a man and has not disclosed any information suggesting otherwise.
Anthony Mackie,53650,Straight,high,Anthony Mackie has been publicly known to be in relationships with women and has not publicly identified as anything other than straight.
Tom Hiddleston,91606,Straight,high,Tom Hiddleston has been publicly linked to women and has not disclosed any same-sex relationships or identified as anything other than straight.
Paul Bettany,6162,Straight,high,"Paul Bettany is married to actress Jennifer Connelly, and there is no public information indicating he identifies as anything other than straight."
Sebastian Stan,60898,Straight,high,Sebastian Stan has been publicly linked to women in relationships and has not disclosed any same-sex relationships or identified as anything other than straight.
Idris Elba,17605,Straight,high,Idris Elba has been publicly known to be in relationships with women and has not publicly identified as anything other than straight.
Danai Gurira,82104,Unknown,low,"Danai Gurira has not publicly disclosed her sexuality, and there is no clear information regarding her relationships that would allow for a definitive categorization."
Brad Pitt,287,Straight,high,Brad Pitt has been in several high-profile relationships with women and was previously married to Jennifer Aniston and Angelina Jolie. He has not publicly identified as anything other than straight.
Mélanie Laurent,19119,Straight,high,Mélanie Laurent has been in a public relationship with a man and has not publicly identified as anything other than straight.
Christoph Waltz,27319,Straight,high,Christoph Waltz is known to be married to an opposite-sex partner and has not publicly identified as anything other than straight.
Eli Roth,16847,Straight,high,Eli Roth has been publicly known to be in relationships with women and has not publicly identified as anything other than straight.
Michael Fassbender,17288,Straight,high,"Michael Fassbender is known to be in a long-term relationship with actress Alicia Vikander, and they are married. There is no public disclosure of any same-sex relationships or statements regarding his sexuality."
Diane Kruger,9824,Straight,high,Diane Kruger has been in public relationships with men and has not publicly identified as anything other than straight.
Daniel Brühl,3872,Straight,high,Daniel Brühl is known to be in a long-term relationship with a woman and has not publicly identified as anything other than straight.
Til Schweiger,1844,Straight,high,Til Schweiger has been in public relationships with women and has not publicly identified as anything other than straight.
Gedeon Burkhard,32823,Straight,high,Gedeon Burkhard has been publicly known to be in relationships with women and has not disclosed any same-sex relationships or identified as anything other than straight.
Jacky Ido,51636,Unknown,low,"There is no publicly available information regarding Jacky Ido's sexuality, and he has not made any explicit statements about it."
B. J. Novak,107770,Unknown,low,"B. J. Novak has not publicly disclosed his sexuality, and there is no clear information regarding his relationships that would allow for a definitive categorization."
Omar Doom,23286,Unknown,low,"Omar Doom has not publicly disclosed his sexuality, and there is no clear information regarding his relationships."
August Diehl,6091,Straight,high,"August Diehl is known to be married to a woman, and there is no public information indicating he has identified as anything other than straight."
Denis Ménochet,81125,Unknown,low,"Denis Ménochet has not publicly disclosed his sexuality, and there is no clear information regarding his relationships that would allow for a definitive categorization."
Sylvester Groth,41965,Unknown,low,"There is no publicly available information regarding Sylvester Groth's sexuality, and he has not made any explicit statements about it."
Martin Wuttke,49056,Unknown,low,"There is no publicly available information regarding Martin Wuttke's sexuality, and he has not made any explicit statements about it."
Mike Myers,12073,Straight,high,Mike Myers is married to a woman and has not publicly identified as anything other than straight.
Julie Dreyfus,2539,Unknown,low,"Julie Dreyfus has not publicly disclosed her sexuality, and there is no clear information regarding her relationships that would allow for a definitive categorization."
Richard Sammel,49487,Unknown,low,"There is no publicly available information regarding Richard Sammel's sexuality, and he has not made any explicit statements about it."
Alexander Fehling,31663,Unknown,low,"There is no publicly available information regarding Alexander Fehling's sexuality, and he has not made any explicit statements about it."
Miles Teller,996701,Straight,high,"Miles Teller is married to Keleigh Sperry, and there is no public information indicating he identifies as anything other than straight."
J.K. Simmons,18999,Straight,high,"J.K. Simmons is married to a woman, Michelle Schumacher, and has not publicly identified as anything other than straight."
Paul Reiser,781,Straight,high,"Paul Reiser is married to a woman, and there is no public information indicating he has identified as anything other than straight."
Melissa Benoist,129104,Straight,high,"Melissa Benoist is married to a man, and there is no public information indicating she identifies as anything other than straight."
Austin Stowell,970216,Straight,high,Austin Stowell has been publicly known to be in a relationship with a woman and has not disclosed any information suggesting otherwise.
Nate Lang,1451540,Unknown,low,"There is no publicly available information regarding Nate Lang's sexuality, and he has not made any explicit statements about it."
Chris Mulkey,15824,Straight,high,"Chris Mulkey is known to be married to a woman, which aligns with the criteria for identifying as Straight."
Damon Gupton,53454,Unknown,low,"Damon Gupton has not publicly disclosed his sexuality, and there is no clear information regarding his relationships."
Suanne Spoke,1212459,Unknown,low,"There is no publicly available information regarding Suanne Spoke's sexuality, and she has not made any explicit statements about it."
Max Kasch,52939,Unknown,low,"Max Kasch has not publicly disclosed his sexuality, and there is limited information available regarding his relationships."
Charlie Ian,1451542,Unknown,low,"There is no publicly available information regarding Charlie Ian's sexuality, and he has not made any explicit statements about it."
Jayson Blair,223012,Unknown,low,"Jayson Blair has not publicly disclosed his sexuality, and there is limited information available regarding his relationships."
Kofi Siriboe,1451543,Straight,high,Kofi Siriboe has been publicly linked to opposite-sex relationships and has not disclosed any same-sex relationships or identified as anything other than straight.
Kavita Patil,159366,Unknown,low,"There is no publicly available information regarding Kavita Patil's sexuality, and she has not made any statements about it."
C.J. Vana,1451545,Unknown,low,"There is no publicly available information regarding C.J. Vana's sexuality, and he has not made any explicit statements on the matter."
Tarik Lowe,171766,Unknown,low,"There is no publicly available information regarding Tarik Lowe's sexuality, and he has not made any statements or disclosures on the matter."
Tyler Kimball,1398714,Unknown,low,"There is no publicly available information regarding Tyler Kimball's sexuality, and he has not made any statements or disclosures about it."
Rogelio Douglas Jr.,1503721,Unknown,low,"There is limited public information regarding Rogelio Douglas Jr.'s sexuality, and he has not made any explicit statements about it."
Adrian Burks,1503834,Unknown,low,"There is no publicly available information regarding Adrian Burks' sexuality, and he has not made any statements or disclosures about it."
Calvin C. Winbush,1145677,Unknown,low,"There is no publicly available information regarding Calvin C. Winbush's sexuality, and he has not made any statements on the subject."
Antonio Banderas,3131,Straight,high,Antonio Banderas has been publicly known to be in relationships with women and was previously married to actress Melanie Griffith.
Salma Hayek Pinault,3136,Straight,high,"Salma Hayek Pinault is married to François-Henri Pinault, and she has not publicly identified as anything other than straight."
Zach Galifianakis,58225,Straight,high,"Zach Galifianakis is married to a woman, which indicates a straight orientation. He has not publicly identified as anything other than straight."
Billy Bob Thornton,879,Straight,high,Billy Bob Thornton has been married to women and has not publicly identified as anything other than straight.
Amy Sedaris,12110,Unknown,low,"Amy Sedaris has not publicly disclosed her sexuality, and there is no clear information regarding her relationships that would allow for a definitive categorization."
Constance Marie,92326,Straight,high,Constance Marie has been in a long-term relationship with a man and has not publicly identified as anything other than straight.
Mike Mitchell,64151,Straight,high,"Mike Mitchell is known to be married to a woman, which aligns with the criteria for identifying as Straight."
Rich Dietl,936666,Unknown,low,"There is no publicly available information regarding Rich Dietl's sexuality, and he has not made any statements about it."
Guillermo del Toro,10828,Unknown,low,"Guillermo del Toro has not publicly disclosed his sexuality, and there is no clear information regarding his relationships that would allow for a definitive categorization."
Conrad Vernon,12080,Straight,high,"Conrad Vernon is known to be in a long-term relationship with a woman, and there is no public information indicating he has identified as anything other than straight."
Chris Miller,12098,Unknown,low,"There is no publicly available information regarding Chris Miller's sexuality, and he has not made any explicit statements on the subject."
Ryan Crego,936667,Unknown,low,"There is no publicly available information regarding Ryan Crego's sexuality, and he has not made any explicit statements about it."
Tom Wheeler,936668,Unknown,low,"There is no publicly available information regarding Tom Wheeler's sexuality, and he has not made any explicit statements on the subject."
Tom McGrath,18864,Unknown,low,"There is no publicly available information regarding Tom McGrath's sexuality, and he has not made any explicit statements on the matter."
Bob Joles,179702,Unknown,low,"There is no publicly available information regarding Bob Joles' sexuality, and he has not made any explicit statements about it."
Latifa Ouaou,936669,Unknown,low,"There is no publicly available information regarding Latifa Ouaou's sexuality, and she has not made any explicit statements on the matter."
Jessica Schulte,936672,Unknown,low,"There is no publicly available information regarding Jessica Schulte's sexuality, and she has not made any statements or disclosures about it."
Bob Persichetti,936670,Unknown,low,"There is no publicly available information regarding Bob Persichetti's sexuality, and he has not made any statements on the subject."
Nina Barry,936674,Unknown,low,"There is no publicly available information regarding Nina Barry's sexuality, and she has not made any statements about it."
Anthony Gonzalez,1193391,Unknown,low,"There is no publicly available information regarding Anthony Gonzalez's sexuality, and he has not made any explicit statements about it."
Gael García Bernal,258,Unknown,low,"Gael García Bernal has not publicly disclosed his sexuality in a clear manner. While he has been in relationships with women, he has not explicitly identified his sexual orientation."
Benjamin Bratt,4589,Straight,high,"Benjamin Bratt is married to Talisa Soto, which indicates a heterosexual relationship. He has not publicly identified as anything other than straight."
Alanna Ubach,10402,Straight,high,"Alanna Ubach is known to be married to a man, and there is no public information indicating any same-sex relationships or a different sexual orientation."
Renée Victor,154004,Unknown,low,"There is no publicly available information regarding Renée Victor's sexuality, and she has not made any explicit statements about it."
Jaime Camil,545087,Straight,high,Jaime Camil is married to a woman and has not publicly identified as anything other than straight.
Alfonso Arau,22767,Straight,high,"Alfonso Arau has been married to a woman, which indicates a heterosexual relationship. There is no public information suggesting he identifies as anything other than straight."
Herbert Siguenza,178667,Unknown,low,"There is no publicly available information regarding Herbert Siguenza's sexuality, and he has not made any explicit statements on the matter."
Gabriel Iglesias,86498,Straight,high,Gabriel Iglesias has publicly discussed his relationships with women and has not identified as anything other than straight.
Lombardo Boyar,4992,Unknown,low,"There is no publicly available information regarding Lombardo Boyar's sexuality, and he has not made any explicit statements about it."
Ana Ofelia Murguía,1043869,Unknown,low,"There is no publicly available information regarding Ana Ofelia Murguía's sexuality, and she has not made any explicit statements about it."
Natalia Cordova-Buckley,1693947,Unknown,low,"There is no publicly available information regarding Natalia Cordova-Buckley's sexuality, and she has not made any explicit statements about it."
Sofía Espinosa,1007527,Unknown,low,"Sofía Espinosa has not publicly disclosed her sexuality, and there is limited information available regarding her relationships."
Selene Luna,48161,Unknown,low,"Selene Luna has not publicly disclosed her sexuality, and there is limited information available regarding her relationships."
